post_id,user_id,timestamp,post_content,num_shares,num_reactions,source_link,sentiment_score,flagged,post_content_normalized,word_count,contains_link,emotion_intensity,hour_of_day,engagement_rate,suspicious_keyword_count,day_of_week
POST_0291,user_030,2025-09-09 01:27:13,Doctors HATE this simple method! Click to learn more!,793,368,beforetheydelete.com,-0.73,True,doctors hate this simple method! click to learn more!,9,True,0.73,1,1161,1,Tuesday
POST_0077,user_136,2025-09-20 04:33:42,Just planted some vegetables in my garden.,21,50,scientificamerican.com,0.35,False,just planted some vegetables in my garden.,7,True,0.35,4,71,0,Saturday
POST_0040,user_054,2025-09-29 22:28:13,Beautiful sunset at the beach today. Nature is incredible. #blessed #grateful,22,76,nature.com,0.88,False,beautiful sunset at the beach today. nature is incredible. blessed grateful,11,True,0.88,22,98,0,Monday
POST_0272,user_084,2025-09-09 11:03:57,Hidden message found in the new company logo — proof of global control!,561,702,UNKNOWN,-0.51,True,hidden message found in the new company logo proof of global control!,12,False,0.51,11,1263,1,Tuesday
POST_0047,user_012,2025-10-01 03:46:40,So grateful for the support of my friends and family.,34,92,nasa.gov,0.69,False,so grateful for the support of my friends and family.,10,True,0.69,3,126,0,Wednesday
POST_0147,user_059,2025-09-25 08:39:49,Check out this recipe I tried today. It turned out delicious!,22,14,UNKNOWN,0.69,False,check out this recipe i tried today. it turned out delicious!,11,False,0.69,8,36,0,Thursday
POST_0146,user_036,2025-10-02 23:04:27,Finished my first marathon today! Feeling accomplished. #blessed #grateful,7,5,UNKNOWN,0.44,False,finished my first marathon today! feeling accomplished. blessed grateful,9,False,0.44,23,12,0,Thursday
POST_0015,user_130,2025-10-07 18:41:47,Amazing day volunteering at the local shelter. #blessed #grateful,19,86,UNKNOWN,0.26,False,amazing day volunteering at the local shelter. blessed grateful,9,False,0.26,18,105,0,Tuesday
POST_0154,user_081,2025-09-13 04:50:37,Watching the stars tonight — feeling peaceful and blessed.,28,85,UNKNOWN,0.32,False,watching the stars tonight feeling peaceful and blessed.,8,False,0.32,4,113,0,Saturday
POST_0006,user_059,2025-10-02 23:52:01,Learning to play the guitar — progress feels great!,14,17,UNKNOWN,0.46,False,learning to play the guitar progress feels great!,8,False,0.46,23,31,0,Thursday
POST_0238,user_131,2025-09-22 16:15:15,So grateful for the support of my friends and family.,32,58,UNKNOWN,0.15,False,so grateful for the support of my friends and family.,10,False,0.15,16,90,0,Monday
POST_0029,user_081,2025-09-09 16:23:37,Supporting local businesses is always a good idea.,32,72,UNKNOWN,0.87,False,supporting local businesses is always a good idea.,8,False,0.87,16,104,0,Tuesday
POST_0082,user_017,2025-09-21 05:50:43,Proud of my little sister for graduating with honors!,40,92,UNKNOWN,0.22,False,proud of my little sister for graduating with honors!,9,False,0.22,5,132,0,Sunday
POST_0205,user_041,2025-10-05 01:45:43,Just adopted a cute puppy. Meet Max! #blessed #grateful,46,45,UNKNOWN,0.23,False,just adopted a cute puppy. meet max! blessed grateful,9,False,0.23,1,91,0,Sunday
POST_0296,user_077,2025-10-08 10:23:12,BANNED BY MAINSTREAM MEDIA! THE TRUTH THEY DON'T WANT YOU TO SEE!,788,337,miracle-cures.net,-0.69,True,banned by mainstream media! the truth they dont want you to see!,12,True,0.69,10,1125,1,Wednesday
POST_0010,user_081,2025-09-15 11:17:32,So grateful for the support of my friends and family. #blessed #grateful,41,63,UNKNOWN,0.21,False,so grateful for the support of my friends and family. blessed grateful,12,False,0.21,11,104,0,Monday
POST_0090,user_127,2025-09-22 17:24:09,Loving the new coffee shop downtown. Great atmosphere.,27,99,UNKNOWN,0.3,False,loving the new coffee shop downtown. great atmosphere.,8,False,0.3,17,126,0,Monday
POST_0070,user_031,2025-10-04 09:36:09,Weekend hike was breathtaking. Can’t wait to go back!,22,73,UNKNOWN,0.4,False,weekend hike was breathtaking. cant wait to go back!,9,False,0.4,9,95,0,Saturday
POST_0091,user_148,2025-09-26 15:34:50,Congratulations to our team for winning the championship!,17,78,UNKNOWN,0.71,False,congratulations to our team for winning the championship!,8,False,0.71,15,95,0,Friday
POST_0273,user_150,2025-09-30 02:51:56,SHOCKING evidence of alien cover-up! Must see!,733,502,beforetheydelete.com,-0.85,True,shocking evidence of alien coverup! must see!,7,True,0.85,2,1235,2,Tuesday
POST_0080,user_033,2025-09-16 15:49:42,Just finished reading an amazing book! Highly recommend it. #blessed #grateful,18,94,bloomberg.com,0.79,False,just finished reading an amazing book! highly recommend it. blessed grateful,11,True,0.79,15,112,0,Tuesday
POST_0151,user_030,2025-09-25 06:59:04,Excited to announce my new job at ABC Company!,49,49,UNKNOWN,0.87,False,excited to announce my new job at abc company!,9,False,0.87,6,98,0,Thursday
POST_0046,user_112,2025-09-20 14:36:27,Beautiful sunset at the beach today. Nature is incredible.,27,82,bbc.com,0.41,False,beautiful sunset at the beach today. nature is incredible.,9,True,0.41,14,109,0,Saturday
