post_id,user_id,timestamp,post_content,num_shares,num_reactions,source_link,sentiment_score,suspicious_keyword_count,engagement_rate,is_anomaly,is_misinformation,entities
POST_0291,user_030,2025-09-09 01:27:13,Doctors HATE this simple method! Click to learn more!,793,368,beforetheydelete.com,-0.73,1,1161,False,True,N/A
POST_0077,user_136,2025-09-20 04:33:42,Just planted some vegetables in my garden.,21,50,scientificamerican.com,0.35,0,71,False,False,N/A
POST_0040,user_054,2025-09-29 22:28:13,Beautiful sunset at the beach today. Nature is incredible. #blessed #grateful,22,76,nature.com,0.88,0,98,False,False,N/A
POST_0272,user_084,2025-09-09 11:03:57,Hidden message found in the new company logo — proof of global control!,561,702,UNKNOWN,-0.51,1,1263,True,True,N/A
POST_0047,user_012,2025-10-01 03:46:40,So grateful for the support of my friends and family.,34,92,nasa.gov,0.69,0,126,False,False,N/A
POST_0147,user_059,2025-09-25 08:39:49,Check out this recipe I tried today. It turned out delicious!,22,14,UNKNOWN,0.69,0,36,False,False,N/A
POST_0146,user_036,2025-10-02 23:04:27,Finished my first marathon today! Feeling accomplished. #blessed #grateful,7,5,UNKNOWN,0.44,0,12,False,False,N/A
POST_0015,user_130,2025-10-07 18:41:47,Amazing day volunteering at the local shelter. #blessed #grateful,19,86,UNKNOWN,0.26,0,105,False,False,N/A
POST_0154,user_081,2025-09-13 04:50:37,Watching the stars tonight — feeling peaceful and blessed.,28,85,UNKNOWN,0.32,0,113,False,False,N/A
POST_0006,user_059,2025-10-02 23:52:01,Learning to play the guitar — progress feels great!,14,17,UNKNOWN,0.46,0,31,False,False,N/A
POST_0238,user_131,2025-09-22 16:15:15,So grateful for the support of my friends and family.,32,58,UNKNOWN,0.15,0,90,False,False,N/A
POST_0029,user_081,2025-09-09 16:23:37,Supporting local businesses is always a good idea.,32,72,UNKNOWN,0.87,0,104,False,False,N/A
POST_0082,user_017,2025-09-21 05:50:43,Proud of my little sister for graduating with honors!,40,92,UNKNOWN,0.22,0,132,False,False,N/A
POST_0205,user_041,2025-10-05 01:45:43,Just adopted a cute puppy. Meet Max! #blessed #grateful,46,45,UNKNOWN,0.23,0,91,False,False,N/A
POST_0296,user_077,2025-10-08 10:23:12,BANNED BY MAINSTREAM MEDIA! THE TRUTH THEY DON'T WANT YOU TO SEE!,788,337,miracle-cures.net,-0.69,1,1125,False,True,N/A
POST_0010,user_081,2025-09-15 11:17:32,So grateful for the support of my friends and family. #blessed #grateful,41,63,UNKNOWN,0.21,0,104,False,False,N/A
POST_0090,user_127,2025-09-22 17:24:09,Loving the new coffee shop downtown. Great atmosphere.,27,99,UNKNOWN,0.3,0,126,False,False,N/A
POST_0070,user_031,2025-10-04 09:36:09,Weekend hike was breathtaking. Can’t wait to go back!,22,73,UNKNOWN,0.4,0,95,False,False,N/A
POST_0091,user_148,2025-09-26 15:34:50,Congratulations to our team for winning the championship!,17,78,UNKNOWN,0.71,0,95,False,False,N/A
POST_0273,user_150,2025-09-30 02:51:56,SHOCKING evidence of alien cover-up! Must see!,733,502,beforetheydelete.com,-0.85,2,1235,True,True,N/A
